Start,End,Phenomena,Location,Causes,Reports
Janeiro (a partir do dia 17),Janeiro/2020,"Anomalias positivas de precipitação tiveram destaque, pois causaram alagamentos,  mortes, milhares de pessoas desabrigadas, impacto de milhões de reais na agropecuária, etc",Espírito Santo e Minas Gerais,"Frente Fria
ZCAS
Ciclone Subtropical Kurumi","INMET: http://www.inmet.gov.br/portal/index.php?r=noticia/visualizarNoticia&id=244
INCAPER: https://incaper.es.gov.br/Not%C3%ADcia/chuva-prejuizo-estimado-supera-r-88-milhoes-na-agropecuaria-capixaba
NOTICIAS: https://g1.globo.com/es/espirito-santo/noticia/2019/11/20/chuva-no-es-ja-deixa-mais-de-1600-pessoas-fora-de-casa-em-seis-cidades.ghtml"
19/01/2020,21/01/2020,Tempestade Gloria,Espanha,,https://www.tempo.com/noticias/actualidade/tempestade-gloria-deixa-mortos-e-rastro-de-destruicao-na-espanha.html
1/1/2020,Janeiro/2020,Grandes inundações Indonésia,Indonésia,Forte convergencia de ventos,https://www.tempo.com/noticias/actualidade/pior-inundacao-em-decadas-deixa-dezenas-de-mortos-na-indonesia.html
9/2/2020,10/2/2020,Chuvas fortes e alagamentos,São Paulo,Frente fria + cavado em médios níveis,"https://www.climatempo.com.br/noticia/2020/02/10/rios-e-corregos-transbordam-em-sao-paulo-com-chuva-volumosan-1798
https://www.climatempo.com.br/noticia/2020/02/10/chuva-de-fevereiro-em-sao-paulo-supera-a-media-apos-temporal-1804
https://www.cgesp.org/v3/noticias.jsp
http://www.inmet.gov.br/portal/index.php?r=home/page&page=notas_tecnicas"
1/2/2020,29/02/2020,Mês de fevereiro foi o mais chuvoso em 77 anos. Temperaturas máximas são as menores desde 2004.,São Paulo (estação meteorológica convencional do Mirante de Santana),???,"https://drive.google.com/file/d/1dONw6Rf73VWKcp3ZkBqvrru5X-WJCK6V/view?usp=sharing
http://www.inmet.gov.br/portal/index.php?r=noticia/visualizarNoticia&id=254
http://www.inmet.gov.br/portal/index.php?r=home/page&page=notas_tecnicas"
1/1/2020,25/02/2020,Diminuição de plumas de poluição (NO2),China,"Por conta do coronavirus, houve uma diminuição no fluxo econômico no país (diminuição de atividades em indústrias, carros, etc.)",https://www.carbonbrief.org/analysis-coronavirus-has-temporarily-reduced-chinas-co2-emissions-by-a-quarter; https://www.scmp.com/economy/china-economy/article/3050527/chinas-capital-shrouded-air-pollution-despite-reduced; https://earthobservatory.nasa.gov/images/146362/airborne-nitrogen-dioxide-plummets-over-china?src=nha
22/02/2020,23/02/2020,Friagem atípica,Acre,Massa de ar frio que atuou durante o Carnaval,https://www.climatempo.com.br/noticia/2020/02/23/acre-sentiu-friagem-atipica-no-fim-de-semana-2051
1/2/2020,29/02/2020,Segundo fevereiro mais quente da história,Global,,https://blogs.scientificamerican.com/eye-of-the-storm/february-2020-earths-2nd-warmest-february-and-3rd-warmest-month-on-record/
6/2/2020,6/2/2020,Antartica registra novo recorde de temperatura:18.3°C,Antártica,Efeito Foehn e alta pressão sobre a peninsula,https://weather.com/en-IN/india/news/news/2020-02-10-antarctica-records-highest-temperature-ever-first-week-february
9/2/2020,9/2/2020,Antartica registra novo recorde de temperatura:20.75°C,Antártica,Efeito Foehn e alta pressão sobre a peninsula,https://www.bbc.com/news/world-51500692
5/2/2020,13/02/2020,Rápido derretimento de neve na ilha Eagle,Antártica,Efeito Foehn e alta pressão sobre a peninsula,https://earthobservatory.nasa.gov/images/146322/antarctica-melts-under-its-hottest-days-on-record
